mouse_gene,sample_id,disease_state,tissue,species,cells,mean_log_normalized_expression,pct_detected,human_gene,mouse_ensembl,support_n,validation_role
Lst1,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,1.7657867924044535,83.6935791481246,LST1,ENSMUSG00000073412,10,circulating_myeloid_context
Lst1,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,1.3803306367507164,72.52268602540835,LST1,ENSMUSG00000073412,10,circulating_myeloid_context
Col1a1,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.06850622101722408,4.640813731722822,COL1A1,ENSMUSG00000001506,12,fibrosis_burden
Col1a1,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,3.356822199128776e-4,0.03629764065335753,COL1A1,ENSMUSG00000001506,12,fibrosis_burden
Col3a1,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.16196628332815277,11.951684678957406,COL3A1,ENSMUSG00000026043,10,fibrosis_burden
Col3a1,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.004006229211355708,0.2903811252268602,COL3A1,ENSMUSG00000026043,10,fibrosis_burden
C1qa,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,2.2173337754169737,82.64462809917356,C1QA,ENSMUSG00000036887,10,macrophage_complement_context
C1qa,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,1.5226222854522349,72.52268602540835,C1QA,ENSMUSG00000036887,10,macrophage_complement_context
C1qb,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,2.2261960039816957,84.26573426573427,C1QB,ENSMUSG00000036905,9,macrophage_complement_context
C1qb,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,1.634115154725198,78.33030852994555,C1QB,ENSMUSG00000036905,9,macrophage_complement_context
C1qc,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,2.1166999333017773,79.72027972027972,C1QC,ENSMUSG00000036896,11,macrophage_complement_context
C1qc,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,1.373105850671921,66.42468239564428,C1QC,ENSMUSG00000036896,11,macrophage_complement_context
Cd9,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.981694369970411,59.12269548633186,CD9,ENSMUSG00000030342,12,macrophage_state_marker
Cd9,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.5790053915909423,42.28675136116152,CD9,ENSMUSG00000030342,12,macrophage_state_marker
Gpnmb,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.6954218561153479,39.41513032422123,GPNMB,ENSMUSG00000029816,11,macrophage_state_marker
Gpnmb,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.01688457047622952,1.3430127041742286,GPNMB,ENSMUSG00000029816,11,macrophage_state_marker
Spp1,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.6854508544171659,38.97012078830261,SPP1,ENSMUSG00000029304,12,macrophage_state_marker
Spp1,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.07278394495377646,7.041742286751361,SPP1,ENSMUSG00000029304,12,macrophage_state_marker
Trem2,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,1.0512293682579035,60.29879211697393,TREM2,ENSMUSG00000023992,11,macrophage_state_marker
Trem2,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.1331328390522342,11.651542649727768,TREM2,ENSMUSG00000023992,11,macrophage_state_marker
Ackr1,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.016501014549237712,1.621106166560712,ACKR1,ENSMUSG00000037872,12,scar_endothelial_marker
Ackr1,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.008632968619912145,0.7259528130671506,ACKR1,ENSMUSG00000037872,12,scar_endothelial_marker
Plvap,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.045218356679129976,3.9732994278448825,PLVAP,ENSMUSG00000034845,12,scar_endothelial_marker
Plvap,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.030123922329657955,2.577132486388385,PLVAP,ENSMUSG00000034845,12,scar_endothelial_marker
Timp1,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.12206173163532573,9.218054672600127,TIMP1,ENSMUSG00000001131,11,secreted_matrix_remodeling
Timp1,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.004486580326003503,0.5081669691470054,TIMP1,ENSMUSG00000001131,11,secreted_matrix_remodeling
Smoc2,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.005993300507604406,0.540368722186904,SMOC2,ENSMUSG00000023886,12,secreted_stromal_biomarker
Smoc2,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,7.66409891581513e-4,0.07259528130671505,SMOC2,ENSMUSG00000023886,12,secreted_stromal_biomarker
Pdgfra,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.017943423432898092,1.5257469802924348,PDGFRA,ENSMUSG00000029231,12,stromal_receptor_target
Pdgfra,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,3.4540484642526733e-4,0.03629764065335753,PDGFRA,ENSMUSG00000029231,12,stromal_receptor_target
Pdgfrb,mouse_fibrotic,fibrotic,mouse_liver,Mus musculus,3146,0.009615166183415841,1.1443102352193262,PDGFRB,ENSMUSG00000024620,12,stromal_receptor_target
Pdgfrb,mouse_healthy,healthy,mouse_liver,Mus musculus,2755,0.005044038769463812,0.5081669691470054,PDGFRB,ENSMUSG00000024620,12,stromal_receptor_target
